SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
298,230672,1.51E+14,2303291,SER94072310501  ,15M2000230012
299,230672,1.51E+14,2303291,SER94072310501  ,15M2000230011
300,230672,1.51E+14,2303282,SER94072310501  ,15M2000229957
301,230672,1.51E+14,2303291,SER94072310501  ,15M2000230014
302,230672,1.51E+14,2303247,SER94072310501  ,15M2000230020
303,230672,4.71E+14,23F01024,SER94072310495  ,47B0000442775
304,230672,4.71E+14,23F01060,SER94072310495  ,47B0000443450
305,230672,4.71E+14,23F01023,SER94072310495  ,47B0000442783
306,230672,4.71E+14,23F01022,SER94072310495  ,47B0000442765
307,230672,4.71E+14,23F01023,SER94072310495  ,47B0000442770
308,230672,4.71E+14,,SER94072310495  ,47B0000442773
309,230672,4.71E+14,23F01024,SER94072310495  ,47B0000442762
310,230672,4.71E+14,23F01023,SER94072310495  ,47B0000442778
311,230672,4.71E+14,23F01023,SER94072310495  ,47B0000442766
312,230672,4.71E+14,23F01023,SER94072310495  ,47B0000442768
313,230672,4.71E+14,23F01024,SER94072310495  ,47B0000442764
314,230672,1.51E+14,2303292,SER94072310518  ,15M2000230059
315,230672,1.51E+14,2303292,SER94072310518  ,15M2000230058
316,230672,1.51E+14,2303292,SER94072310518  ,15M2000230055
317,230672,1.51E+14,2303292,SER94072310518  ,15M2000230057
318,230672,1.51E+14,2303292,SER94072310518  ,15M2000230053
319,230672,1.51E+14,2303292,SER94072310518  ,15M2000230052
320,230672,1.51E+14,2303292,SER94072310518  ,15M2000230054
321,230672,1.51E+14,2302932,SER94072310518  ,15M2000230051
322,230672,1.51E+14,2303292,SER94072310518  ,15M2000230056
323,230672,1.51E+14,2302932,SER94072310518  ,15M2000230050
324,230672,4.71E+14,23F01034,SER94072310570  ,47B0000444262
325,230672,4.71E+14,23F01092,SER94072310570  ,47B0000444275
326,230672,4.71E+14,23D00935,SER94072310570  ,47B0000444250
327,230672,4.71E+14,23D00898,SER94072310570  ,47B0000444259
328,230672,4.71E+14,23F01092,SER94072310570  ,47B0000444273
329,230672,4.71E+14,23F01092,SER94072310570  ,47B0000444276
330,230672,4.71E+14,23D00935,SER94072310570  ,47B0000444248
331,230672,4.71E+14,23F01092,SER94072310570  ,47B0000444274
