Mat Code,Wagon No,Group
2.0,ER94022110878   ,42
2.0,ER94022110878   ,42
1.0,SCR94092110532  ,42
1.0,SCR94092110532  ,42
1.0,SCR94092110532  ,42
1.0,SCR94092110532  ,42
1.0,SCR94092110532  ,42
,SCR94092110532  ,42
1.0,SCR94092110532  ,42
,SCR94092110532  ,43
1.0,SCR94092110532  ,43
1.0,SCR94092110532  ,43
,SCR94092110532  ,43
2.0,SER94071256336  ,43
2.0,SER94071256336  ,43
2.0,SER94071256336  ,43
2.0,SER94071256336  ,43
,SER94071256336  ,43
2.0,SER94071256336  ,43
2.0,SER94071256336  ,44
2.0,SER94071256336  ,44
2.0,SER94071256336  ,44
2.0,SER94071256336  ,44
2.0,SER94071256336  ,44
1.0,SECR55140313732 ,44
1.0,SECR55140313732 ,44
1.0,SECR55140313732 ,44
1.0,SECR55140313732 ,44
1.0,SECR55140313732 ,44
1.0,SECR55140313732 ,45
1.0,SECR55140313732 ,45
,SECR55140313732 ,45
,SECR55140313732 ,45
1.0,SCR55090160103  ,45
1.0,SCR55090160103  ,45
1.0,SCR55090160103  ,45
1.0,SCR55090160103  ,45
1.0,SCR55090160103  ,45
1.0,SCR55090160103  ,45
,SCR55090160103  ,46
1.0,SCR55090160103  ,46
1.0,SCR55090160103  ,46
,SCR55090160103  ,46
2.0,SECR94141358175 ,46
2.0,SECR94141358175 ,46
2.0,SECR94141358175 ,46
2.0,SECR94141358175 ,46
,SECR94141358175 ,46
,SECR94141358175 ,46
,SECR94141358175 ,47
,SECR94141358175 ,47
,SECR94141358175 ,47
2.0,SECR94141358175 ,47
,NR55030121539   ,47
1.0,NR55030121539   ,47
1.0,NR55030121539   ,47
1.0,NR55030121539   ,47
1.0,NR55030121539   ,47
,NR55030121539   ,47
1.0,NR55030121539   ,48
1.0,NR55030121539   ,48
1.0,NR55030121539   ,48
1.0,NR55030121539   ,48
2.0,NCR94131363349  ,48
,NCR94131363349  ,48
2.0,NCR94131363349  ,48
2.0,NCR94131363349  ,48
,NCR94131363349  ,48
2.0,NCR94131363349  ,48
2.0,NCR94131363349  ,49
2.0,NCR94131363349  ,49
2.0,NCR94131363349  ,49
,NCR94131363349  ,49
