SNO,Mat Code,Heat No,Wagon No
451.0,3,60,15
452.0,3,60,15
453.0,3,60,15
454.0,3,31,15
455.0,4,26,23
456.0,0,26,23
457.0,0,26,23
458.0,0,65,23
459.0,0,25,23
460.0,4,26,23
461.0,0,26,23
462.0,0,26,23
463.0,0,25,23
464.0,0,26,23
465.0,4,35,12
466.0,3,35,12
467.0,3,31,12
468.0,3,35,12
469.0,3,31,12
470.0,4,35,12
471.0,3,35,12
472.0,3,35,12
473.0,3,65,12
474.0,3,31,12
475.0,0,27,9
476.0,4,27,9
477.0,0,65,9
478.0,0,27,9
479.0,0,27,9
480.0,4,27,9
481.0,0,27,9
482.0,0,65,9
483.0,0,27,9
484.0,0,27,9
