SNO,Mat Code,Heat No,Wagon No
274,1.512E+14,2303249,SECR94141218226 
275,1.512E+14,2303249,SECR94141218226 
276,1.512E+14,2301940,SER94072310327  
277,1.512E+14,2301940,SER94072310327  
278,1.512E+14,2303183,SER94072310327  
279,1.512E+14,2301940,SER94072310327  
280,1.512E+14,2301940,SER94072310327  
281,1.512E+14,2303183,SER94072310327  
282,,2302485,SER94072310327  
283,1.512E+14,2303183,SER94072310327  
284,1.512E+14,2303183,SER94072310327  
285,1.512E+14,2302550,SER94072310327  
286,1.512E+14,2303183,SER94072310327  
287,4.7131E+14,23D00888,ER55020160470   
288,4.7131E+14,23D00920,ER55020160470   
289,1.512E+14,2301985,SER94071576359  
290,1.512E+14,2303183,SER94071576359  
291,1.512E+14,2301985,SER94071576359  
292,1.512E+14,2303183,SER94071576359  
293,1.512E+14,2303291,SER94072310501  
294,,2303264,SER94072310501  
295,1.512E+14,2303247,SER94072310501  
296,,2303264,SER94072310501  
297,1.512E+14,2303291,SER94072310501  
298,1.512E+14,,SER94072310501  
299,1.512E+14,2303291,SER94072310501  
300,1.512E+14,2303282,SER94072310501  
301,1.512E+14,2303291,SER94072310501  
302,1.512E+14,2303247,SER94072310501  
303,4.7131E+14,23F01024,SER94072310495  
304,,23F01060,SER94072310495  
305,4.7131E+14,23F01023,SER94072310495  
306,4.7131E+14,23F01022,SER94072310495  
307,4.7131E+14,23F01023,SER94072310495  
308,4.7131E+14,23F01023,SER94072310495  
309,4.7131E+14,23F01024,SER94072310495  
310,4.7131E+14,23F01023,SER94072310495  
311,4.7131E+14,,SER94072310495  
312,4.7131E+14,23F01023,SER94072310495  
313,4.7131E+14,23F01024,SER94072310495  
314,,2303292,SER94072310518  
315,1.512E+14,2303292,SER94072310518  
316,1.512E+14,,SER94072310518  
317,1.512E+14,2303292,SER94072310518  
318,1.512E+14,2303292,SER94072310518  
319,1.512E+14,2303292,SER94072310518  
320,1.512E+14,,SER94072310518  
321,1.512E+14,2302932,SER94072310518  
322,,2303292,SER94072310518  
323,1.512E+14,2302932,SER94072310518  
324,4.7131E+14,23F01034,SER94072310570  
325,4.7131E+14,23F01092,SER94072310570  
326,4.7131E+14,23D00935,SER94072310570  
327,4.7131E+14,23D00898,SER94072310570  
328,4.7131E+14,23F01092,SER94072310570  
329,4.7131E+14,23F01092,SER94072310570  
330,,23D00935,SER94072310570  
331,4.7131E+14,23F01092,SER94072310570  
332,4.7131E+14,23D00935,SER94072310570  
333,1.512E+14,2302550,SER94072310549  
334,1.512E+14,2301945,SER94072310549  
335,1.512E+14,,SER94072310549  
336,1.512E+14,2301945,SER94072310549  
337,1.512E+14,2301945,SER94072310549  
338,1.512E+14,2302550,SER94072310549  
339,1.512E+14,2302485,SER94072310549  
340,1.512E+14,2302485,SER94072310549  
341,1.512E+14,2302485,SER94072310549  
342,,2303182,SER94072310563  
343,1.512E+14,2301940,SER94072310563  
344,1.512E+14,2302287,SER94072310563  
345,1.512E+14,2302287,SER94072310563  
346,,2301940,SER94072310563  
347,1.512E+14,2303182,SER94072310563  
348,1.512E+14,2301940,SER94072310563  
349,1.512E+14,2301940,SER94072310563  
350,1.512E+14,2303122,SER94072310563  
351,1.512E+14,2301940,SER94072310563  
352,4.511E+14,23F01075,ER94021329387   
353,4.511E+14,23F01075,ER94021329387   
354,4.511E+14,23F01047,ER94021329387   
355,4.511E+14,23F01075,ER94021329387   
356,,23F01075,ER94021329387   
357,4.511E+14,23F01075,ER94021329387   
358,4.511E+14,23F01075,ER94021329387   
359,4.511E+14,,ER94021329387   
360,4.511E+14,23F01075,ER94021329387   
361,,23F01075,ER94021329387   
362,4.511E+14,23F01075,ER94021329387   
363,4.511E+14,23F01075,ER94021329387   
364,4.511E+14,,ER94021329387   
365,4.511E+14,23F01075,ER94021329387   
366,4.511E+14,23F01075,ER94021329387   
367,,23F01075,ER94021329387   
368,4.511E+14,23F01075,ER94021329387   
369,4.511E+14,23D00971,ER94022110809   
370,,23D00971,ER94022110809   
371,4.511E+14,23D00971,ER94022110809   
372,4.511E+14,23E00996,ER94022110809   
373,4.511E+14,23D00971,ER94022110809   
374,4.511E+14,23D00971,ER94022110809   
375,4.511E+14,,ER94022110809   
376,4.511E+14,23D00971,ER94022110809   
377,4.511E+14,23D00971,ER94022110809   
378,4.511E+14,23D00971,ER94022110809   
379,4.511E+14,23D00971,ER94022110809   
380,4.511E+14,23E00996,ER94022110809   
381,,23E00996,ER94022110809   
382,4.511E+14,,ER94022110809   
383,4.511E+14,23E00996,ER94022110809   
384,4.511E+14,23E00996,ER94022110809   
385,4.511E+14,23E00994,SER55070063691  
386,4.511E+14,23E00994,SER55070063691  
387,4.511E+14,,SER55070063691  
388,4.511E+14,23E00994,SER55070063691  
389,4.511E+14,23E00994,SER55070063691  
390,,2303289,SECR94141217724 
391,1.512E+14,2303289,SECR94141217724 
392,1.512E+14,2303249,NR94031711264   
393,1.512E+14,2302932,NR94031711264   
394,,2303249,NR94031711264   
395,1.512E+14,2303249,NR94031711264   
396,1.512E+14,,NR94031711264   
397,1.512E+14,2303249,NR94031711264   
398,1.512E+14,2303249,NR94031711264   
399,1.512E+14,2303249,NR94031711264   
400,1.512E+14,2303249,NR94031711264   
401,1.512E+14,2303249,NR94031711264   
402,1.512E+14,2303249,NR94031711264   
403,1.512E+14,2303153,ER94022110878   
404,1.512E+14,2303147,ER94022110878   
405,,2303147,ER94022110878   
406,1.512E+14,2303147,ER94022110878   
407,1.512E+14,2303153,ER94022110878   
408,1.512E+14,2303153,ER94022110878   
409,1.512E+14,2303147,ER94022110878   
410,1.512E+14,2303160,ER94022110878   
411,1.512E+14,2303160,ER94022110878   
412,,2303163,ER94022110878   
413,1.512E+14,2303176,ER94022110878   
414,4.7131E+14,23D00905,SCR94092110532  
415,4.7131E+14,,SCR94092110532  
416,,23F01024,SCR94092110532  
417,4.7131E+14,23E00913,SCR94092110532  
418,4.7131E+14,23E00913,SCR94092110532  
419,4.7131E+14,23E00913,SCR94092110532  
420,4.7131E+14,23E00914,SCR94092110532  
421,4.7131E+14,23E00915,SCR94092110532  
422,4.7131E+14,23E00915,SCR94092110532  
423,4.7131E+14,23E00915,SCR94092110532  
424,4.7131E+14,23F01057,SCR94092110532  
425,,2303283,SER94071256336  
426,1.512E+14,2303283,SER94071256336  
427,1.512E+14,,SER94071256336  
428,1.512E+14,2303283,SER94071256336  
429,1.512E+14,2303283,SER94071256336  
430,1.512E+14,2303283,SER94071256336  
431,1.512E+14,2303291,SER94071256336  
432,1.512E+14,2303283,SER94071256336  
433,1.512E+14,2303283,SER94071256336  
434,,2303283,SER94071256336  
435,1.512E+14,2303291,SER94071256336  
436,4.7131E+14,23D00896,SECR55140313732 
437,4.7131E+14,23D00903,SECR55140313732 
438,4.7131E+14,23D00903,SECR55140313732 
439,4.7131E+14,23D00903,SECR55140313732 
440,,23D00903,SECR55140313732 
441,4.7131E+14,,SECR55140313732 
442,4.7131E+14,23D00903,SECR55140313732 
443,4.7131E+14,23D00903,SECR55140313732 
444,4.7131E+14,23D00903,SECR55140313732 
445,4.7131E+14,23F01059,SCR55090160103  
446,,23D00896,SCR55090160103  
447,4.7131E+14,23F01059,SCR55090160103  
448,4.7131E+14,,SCR55090160103  
449,4.7131E+14,23F01059,SCR55090160103  
450,4.7131E+14,,SCR55090160103  
451,4.7131E+14,23F01059,SCR55090160103  
452,4.7131E+14,23F01059,SCR55090160103  
453,4.7131E+14,23F01059,SCR55090160103  
454,4.7131E+14,23D00896,SCR55090160103  
455,,2303295,SECR94141358175 
456,1.512E+14,2303295,SECR94141358175 
457,1.512E+14,2303295,SECR94141358175 
458,1.512E+14,,SECR94141358175 
459,1.512E+14,2303292,SECR94141358175 
460,,2303295,SECR94141358175 
461,1.512E+14,2303295,SECR94141358175 
462,1.512E+14,2303295,SECR94141358175 
463,1.512E+14,2303292,SECR94141358175 
464,1.512E+14,2303295,SECR94141358175 
465,,23D00905,NR55030121539   
466,4.7131E+14,23D00905,NR55030121539   
467,4.7131E+14,23D00896,NR55030121539   
468,4.7131E+14,23D00905,NR55030121539   
469,4.7131E+14,23D00896,NR55030121539   
470,,23D00905,NR55030121539   
471,4.7131E+14,23D00905,NR55030121539   
472,4.7131E+14,23D00905,NR55030121539   
473,4.7131E+14,,NR55030121539   
474,4.7131E+14,23D00896,NR55030121539   
475,1.512E+14,2303299,NCR94131363349  
476,,2303299,NCR94131363349  
477,1.512E+14,,NCR94131363349  
478,1.512E+14,2303299,NCR94131363349  
479,1.512E+14,2303299,NCR94131363349  
480,,2303299,NCR94131363349  
481,1.512E+14,2303299,NCR94131363349  
482,1.512E+14,,NCR94131363349  
483,1.512E+14,2303299,NCR94131363349  
484,1.512E+14,2303299,NCR94131363349  
